Unnamed: 0,created_at,text,user_name,user_location,retweet_count,favorite_count
1822,13/03/2020 15:28,RT ichaydon The Office of Research and Graduate Education is working with University administration to ensure individuals who assist wit ,Virginia,New Mexico ,176,0
1823,13/03/2020 15:28,RT NoLore I m gonna keep saying it the university cannot simply mandate online education Professors have the right to decide how to end ,Chris Alemany,49 318146 124 310592,51,0
1824,13/03/2020 15:27,I m gonna keep saying it the university cannot simply mandate online education Professors have the right to decid ,Nora Loreto,Qu bec Canada,51,245
1825,13/03/2020 15:26,Associate Lectureship Education Focused in British History 1750 1850 AO1627MR at University of St Andrews ,Prof Elaine Chalus,Avalon i e Glastonbury ,0,2
1826,13/03/2020 15:26,RT wef These are top universities in emerging economies education university ,bonie karimi,nan,35,0
1827,13/03/2020 15:26,RT khadijasanusi With time the plan was for the books to be inherited by B U K My father wanted university students to have access to ,Abdelsa leem Dan Fulani Usain,Jannah is my goal ,532,0
1828,13/03/2020 15:26,The University of Alaska system is moving to end most in person classes for the rest of the semester and is trying ,David Hulen,Anchorage Alaska,0,3
1829,13/03/2020 15:26,RT DerbyUniPress DerbyUni has been shortlisted in the Social and community impact category of The Guardian University Awards 2020 for i ,Derby Uni Alumni,Derby England UK,4,0
1830,13/03/2020 15:25,Being blind or deaf alone can be very challenging at times How about having the two deaf blind My guest today ,paul anomah kordieh,nan,3,9
1831,13/03/2020 15:25,RT DrMarleyDoyle BHECN1 is hosting Taryn E Hughes today to discuss compassion fatigue HealtheHealer AllisonGrennan ADelizz ,Allison Grennan PhD,Omaha NE,2,0
1832,13/03/2020 15:24,Applications for ULEAD University Leadership Education and Development 2020 are now open Learn more apply ,UNC Human Resources,Chapel Hill NC,0,1
1833,13/03/2020 15:24,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Kaysey17,United States,143,0
1834,13/03/2020 15:24,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,teresa stuart ,South West England,143,0
1835,13/03/2020 15:24,RT Arsham N K Philosophers of Science especially biology An old friend from the University of Tehran is looking for PhilSci PhilBio ,Charlotte EU UK,on a good question,7,0
1836,13/03/2020 15:23,I guess it s part and parcel for America s evangelicals though HowToEvangelical , ,Indiana USA,2,11
1837,13/03/2020 15:23,RT gfbertone Half a billion children and youth worldwide are not attending school or university because of COVID19 Here s a list of ope ,Salvatore Vitale,Cambridge MA,11,0
1838,13/03/2020 15:23, drahcir rahl There s been an increase of ppl going to college or university and going for degrees that yes needed ,Monique Box,Canada,0,2
1839,13/03/2020 15:23, alexbonkly Master of Education in sport psychology and counseling at Boston University 7 Career In the summer ,Ivan C ,nasty boi street,1,6
1840,13/03/2020 15:23,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Clare Curran ,Manchester England,143,0
1841,13/03/2020 15:23,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Heavy Manners,Crumlin Co Antrim,143,0
1842,13/03/2020 15:23,A growing number of students from Vietnam are seeking higher education abroad Register for our webinar to learn m ,WES Canada,Toronto Ontario,0,0
