,created_at,text,user_name,user_location,retweet_count,favorite_count
437,13/03/2020 22:00,Transformation and reconciliation in education is possible -  the good work in Mi'kmaq education systems is having… https://t.co/YE8FnNfokv,CRC Public Dialogue,"Ottawa, Ontario",0,1
438,13/03/2020 22:00,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Keith Lewis,"Newcastle-under-Lyme, England",32,0
439,13/03/2020 22:00,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Andy Clark,"Newcastle Upon Tyne, England",32,0
440,13/03/2020 22:00,RT @BBCNWT: Salford University has announced all teaching - except for final-year students - will be suspended from Monday https://t.co/EeV…,Sue crawford,"Maghull, England",9,0
441,13/03/2020 22:00,Howard University School of Business Teams Up With @Noodle_Partners To Expand Access To Top-Ranked Elite Global Bus… https://t.co/9JYkHkXCIW,New Markets,"Fulton, Maryland",0,0
442,13/03/2020 22:00,"@shaky_dingo Hello friend, Am interested to come and study in Canada, please you can fine me school, Canada is my d… https://t.co/zclXiRo2ns",sudaiswalker,,0,0
443,13/03/2020 22:00,RT @nseducation: The Province is directing public sector employees who travel outside Canada to stay home and self-isolate for 14 days afte…,Strait Regional Centre for Education,"304 Pitt St., Port Hawkesbury",16,0
444,13/03/2020 22:00,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Declan Devlin ?,"Sheffield, England",32,0
445,13/03/2020 21:59,"BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teachin… https://t.co/XQqdZI5sm4",USSbriefs is on strike #UCUstrike,"Public Universities, UK",32,44
446,13/03/2020 21:59,RT @theIMEU: Rep. Paul Gosar (R-AZ) is calling for the Department of Education to investigate the Center for Middle East Studies at the Uni…,you are here in timespace,EdgewdATL-MvskogeeCherokeeland,5,0
447,13/03/2020 21:58,"@nancylevine @revrrlewis @LibertyU I graduated from Liberty University with a bachelors of science, and received a… https://t.co/EmPW6C9DJS",Chicken Alfredo,,0,0
448,13/03/2020 21:57,Wonder how many university students realise they are basically paying thousands for the equivalent of a MOOC style education #Covid_19,Mike- Trust me it'll soon be Christmas,,0,0
449,13/03/2020 21:57,RT @csusmnews: How will universities like #CSUSM pull off a mid-semester transition to virtual learning due to the coronavirus threat? @gro…,marilyn huerta,California ,4,0
450,13/03/2020 21:57,@Gwszekeres No one said it was. You're making this about something it's not. I can complete exactly 1 of my classes… https://t.co/Br87qwlqRe,Kyle Tyler,"Murfreesboro, TN",0,0
451,13/03/2020 21:57,"RT @academicpiracy: Excited to share that @JPAEJournal just released a call for papers for a special issue on ethics education, to be edite…",Section on PA Education,,5,0
452,13/03/2020 21:57,"RT @muhahmed0145: Follow the link to join our *TEAM* :
https://t.co/x5UBTVQbmT

What is Campus BCAT?
????????

Campus BCAT is a university-…",Abdulazeez Saidu,"Kaduna, Nigeria",10,0
453,13/03/2020 21:56,RT @csusmnews: How will universities like #CSUSM pull off a mid-semester transition to virtual learning due to the coronavirus threat? @gro…,Brian Hiro,"San Marcos, CA",4,0
454,13/03/2020 21:56,"RT @Newzroom405: ICYMI: .@JJTabane in conversation with @AdHabb who gives an update on tertiary education in SA, his departure from Wits Un…",Leinad Raison D'etre,"Johannesburg, South Africa",17,0
455,13/03/2020 21:56,RT @LoettaPPaulsen: I see life like one long university education I never had. I learn something every day. – Richard Branson #leadership #…,Win,,1,0
456,13/03/2020 21:56,RT @Rianneletschert: Picture from the crisis board room. Deeply impressed by our dedicated academic and support staff who work day and nigh…,Marie-Louise Boer,Hardenberg,8,0
457,13/03/2020 21:55,RT @KingstonUni: Great news to take into the weekend! #KingstonUniversity is nominated in two categories at the @Guardian University Awards…,Yogan Yoganathan,,7,0
