source_name,author,title,description,publishedAt
Lifehacker.com,Micaela Heck,"How to Stop Procrastinating, With Behavior Scientist BJ Fogg",Do you put things off ‘til the last minute? Are you one of the millions who tend to delay getting to your to-do list? Then you’re in luck—behavior scientist BJ Fogg joins us on this episode to talk about how to stop procrastinating thanks to his researched ap…,2020-03-03T14:30:00Z
Engadget,Christine Fisher,Last month was the hottest January on record,"In 141 years of climate records, January 2020 was the hottest January yet, according to scientists from NOAA's National Centers for Environmental Information. Global land and ocean surface temperatures were 2.05 degrees Fahrenheit (1.14 degrees Celsius) above…",2020-02-13T22:48:00Z
CNN,"Francisco Guzman and Brian Ries, CNN",Bars near one university are giving women a secret way to signal if they feel unsafe,The Florida Atlantic University Student Government created posters to hang in local bars and restaurants to give women a secret way to alert bartenders if they're in danger or on an uncomfortable date.,2020-03-06T16:42:39Z
Eonline.com,Corinne Heller,Meghan Markle and Prince Harry Are All Smiles on Valentine's Day - E! Online,Meghan Markle and Prince Harry Are All Smiles on Valentine's Day E! Online Meghan Markle And Prince Harry Are Trying To Be 'Regular Parents' In Canada After Royal Exit Access Meghan Markle and Prince Harry's Bet on a New Private Life Might Not Pay Off Showbiz…,2020-02-15T22:51:00Z
CNN,"Madeline Holcombe, CNN",Court reverses settlement that would give $2.5 million in university funds to protect Confederate monument,A North Carolina state court has reversed a settlement that provided $2.5 million in university funds to preserve a Confederate monument.,2020-02-13T08:24:14Z
Globalnews.ca,Olivia Bowden,Do you think you have coronavirus symptoms? Here’s who to call first - Global News,Do you think you have coronavirus symptoms? Here’s who to call first Global News Losing our touch? Some alternative greetings amid coronavirus fears Toronto Star 4 more positive cases of COVID-19 discovered in Ontario CBC.ca Three new cases of COVID-19 confir…,2020-03-06T19:24:50Z
BBC News,https://www.facebook.com/bbcnews,'Too many white people in here': race row at US college,The University of Virginia is grappling with a race row after the opening of a new diversity centre.,2020-02-14T20:18:49Z
Ctvnews.ca,Laura Osman,Canada's top doctor says country ready with co-ordinated response to COVID-19 - CTV News,"A Canadian patient newly diagnosed with COVID-19 recently travelled to Las Vegas and used public transit in Toronto for several days before he was tested for the virus, says the Toronto public health authority.",2020-03-07T06:40:45Z
Engadget,Mariella Moon,"Netflix pauses production on 'Stranger Things,' other shows due to coronavirus","TV and media giants, including streaming services, are feeling the effects of the global coronavirus pandemic. According to The Hollywood Reporter and Deadline, Netflix has put a pause on all scripted TV and film production for two weeks in the US and Canada …",2020-03-14T00:38:00Z
Bnnbloomberg.ca,The Canadian Press,?Royal Bank raises dividend as it reports $3.5B first-quarter profit - BNNBloomberg.ca,"?Royal Bank raises dividend as it reports $3.5B first-quarter profit BNNBloomberg.ca RBC hikes dividend as profit tops forecasts on capital markets, retail banking strength The Globe and Mail Royal Bank of Canada profit jumps 11% Financial Post Royal Bank of …",2020-02-21T11:31:13Z
Ctvnews.ca,,Coronavirus: What does pandemic mean? - CTV News,"As the list of countries dealing with COVID-19 grows, a Toronto infectious disease expert says the virus outbreak is already likely at pandemic level – but that’s not clear because some countries are hiding the extent of their outbreak.",2020-02-26T17:19:00Z
CNN,"Alaa Elassar, CNN",A Georgia college student has been missing since Valentine's Day,Authorities in Georgia have escalated the search for a missing Fort Valley State University who was last seen on Valentine's Day.,2020-02-18T20:47:09Z
CNN,"By Alec Snyder, CNN",Museum hires refugees as docents to help visitors see exhibits from a new perspective,"The University of Pennsylvania-affiliated Penn Museum launched a program called the Global Guides, which works with Philadelphia organizations to hire refugees as docents.",2020-02-23T21:09:35Z
Financial Post,,PDAC mining conference goers asked to monitor for coronavirus symptoms after Sudbury area man tests positive - Financial Post,PDAC mining conference goers asked to monitor for coronavirus symptoms after Sudbury area man tests positive Financial Post Sudbury man who attended Toronto conference has COVID-19: health officials CP24 Toronto's Breaking News Coronavirus update: Man from Su…,2020-03-11T12:32:00Z
